ItemId,count_special_treatment,count_all
Ⅳ型胶原,1,1
仁济东院_fbmd,8,8
仁济东院_flkz,8,8
仁济东院_lxms,8,8
仁济东院_mem2,156,156
仁济东院_sps,158,158
仁济东院_tzx2,139,139
光滑念珠菌,2,2
层粘连蛋白,1,1
抗C3,12,12
抗IgG,12,12
抗体筛查,484,484
抗原A,26,26
抗原B,26,26
直抗,12,12
简要结论,2,2
自身抗体,12,12
透明质酸,1,1
